Subject,Module,Chapter,Topic,Subtopic1,Subtopic2
Python,Fundamentals of Core Python,Variable,Introduction to print,Introduction to print,
Python,Fundamentals of Core Python,Variable,Print variables,Print variables,
Python,Fundamentals of Core Python,Variable,Variables,Variables,
Python,Fundamentals of Core Python,Variable,Memory Allocation,Memory Allocation,
Python,Fundamentals of Core Python,Variable,Anatomy of variable,Anatomy of variable,
Python,Fundamentals of Core Python,Variable,Types of  Values,Types of  Values,
Python,Fundamentals of Core Python,Variable,Finding type of values,Finding type of values,
Python,Fundamentals of Core Python,Variable,Keywords,Keywords,
Python,Fundamentals of Core Python,Variable,Identifiers,Identifiers,
Python,Fundamentals of Core Python,Operator,Introduction to Operator,Introduction to Operator,
Python,Fundamentals of Core Python,Operator,Arithmetic Operator,Arithmetic Operator,
Python,Fundamentals of Core Python,Operator,Assignment operator,Assignment operator,
Python,Fundamentals of Core Python,Operator,Relational Operator,Relational Operator,
Python,Fundamentals of Core Python,Operator,Logical operator,Logical operator,
Python,Fundamentals of Core Python,Operator,Bitwise Operator,Bitwise Operator,
Python,Fundamentals of Core Python,Operator,,,
Python,Fundamentals of Core Python,String concatenation,String concatenation,String concatenation,
Python,Fundamentals of Core Python,control statements,Conditional statements,Introduction to Block statements,
Python,Fundamentals of Core Python,control statements,Conditional statements,if statement,
Python,Fundamentals of Core Python,control statements,Conditional statements,if else statement,
Python,Fundamentals of Core Python,control statements,Conditional statements,elif statement,
Python,Fundamentals of Core Python,control statements,Conditional statements,nested if else,
Python,Fundamentals of Core Python,control statements,Conditional statements,match case ,
Python,Fundamentals of Core Python,,,,
Python,Fundamentals of Core Python,control statements,Looping Statements,Introduction to loop ntroduction,
Python,Fundamentals of Core Python,control statements,Looping Statements,While loop,
Python,Fundamentals of Core Python,control statements,Looping Statements,,"Print ""hi"" for 5 times"
Python,Fundamentals of Core Python,control statements,Looping Statements,,Print 1 to 5
Python,Fundamentals of Core Python,control statements,Looping Statements,,Print 5 to 1
Python,Fundamentals of Core Python,control statements,Looping Statements,,Print square of a number
Python,Fundamentals of Core Python,control statements,Looping Statements,,print even number
Python,Fundamentals of Core Python,control statements,Looping Statements,,
Python,Fundamentals of Core Python,control statements,Looping Statements,Range of values,
Python,Fundamentals of Core Python,control statements,Looping Statements,for loop,
Python,Fundamentals of Core Python,control statements,Looping Statements,,"Print ""hi"" for 5 times"
Python,Fundamentals of Core Python,control statements,Looping Statements,,Print 1 to 5
Python,Fundamentals of Core Python,control statements,Looping Statements,,Print 5 to 1
Python,Fundamentals of Core Python,control statements,Looping Statements,,
Python,Fundamentals of Core Python,control statements,Looping Statements,break keyword,
Python,Fundamentals of Core Python,control statements,Looping Statements,continue keyword,
Python,Fundamentals of Core Python,control statements,Looping Statements,pass keyword,
Python,Fundamentals of Core Python,control statements,Looping Statements,nested  loop,nested for loop
Python,Fundamentals of Core Python,control statements,Looping Statements,,nested while loop
Python,Fundamentals of Core Python,Functions,Introduction to functions,Introduction to functions,
Python,Fundamentals of Core Python,Functions,Anatomy of functions,Anatomy of functions,
Python,Fundamentals of Core Python,Functions,Function Invocation,Function Invocation,
Python,Fundamentals of Core Python,Functions,Function Parameters,Function Parameters Introduction,
Python,Fundamentals of Core Python,Functions,Function Parameters,Multi Parameter function,Function to multiply 2 numbers
Python,Fundamentals of Core Python,Functions,Function Parameters,Multi Parameter function,Function calculate simple interest
Python,Fundamentals of Core Python,Functions,Function Execution,Function Execution,
Python,Fundamentals of Core Python,Functions,Function return,Function return to multiply 2 numbers,
Python,Fundamentals of Core Python,Functions,Function return,Function return to calculate simple interest,
Python,Fundamentals of Core Python,Functions,Function return,Function return even or odd,
Python,Fundamentals of Core Python,Functions,Function Execution,Function calling another function,
Python,Fundamentals of Core Python,Functions,Function Execution,Print area of circle,
Python,Fundamentals of Core Python,Functions,Function Execution Memory,Function Execution Memory,
Python,Fundamentals of Core Python,Functions,Recursion,Recursion,
Python,Fundamentals of Core Python,Functions,Fuction Classification,Fuction Classification,
Python,Fundamentals of Core Python,Functions,Reading Inputs,Reading Inputs,
Python,Fundamentals of Core Python,Functions,Types of arguments,Positional arguments,
Python,Fundamentals of Core Python,Functions,Types of arguments,default arguments,
Python,Fundamentals of Core Python,Functions,Types of arguments,keyword arguments,
Python,Fundamentals of Core Python,Functions,Types of arguments,variable length positional arguments,
Python,Fundamentals of Core Python,Functions,Types of arguments,variable length keyword  arguments,
Python,Fundamentals of Core Python,Scope of variables,Local variables,Local variables,
Python,Fundamentals of Core Python,Scope of variables,global variables,global variables,
Python,Fundamentals of Core Python,Scope of variables,non local variables,non local variables,
Python,Fundamentals of Core Python,Collection,Introduction to collection,Introduction to collection,
Python,Fundamentals of Core Python,Collection,List,Introduction to list,
Python,Fundamentals of Core Python,Collection,List,list Indexing,
Python,Fundamentals of Core Python,Collection,List,list slicing,
Python,Fundamentals of Core Python,Collection,List,Built in functions of list,
Python,Fundamentals of Core Python,Collection,List,Built in Methods,
Python,Fundamentals of Core Python,Collection,Tuple,Introduction to tuple,
Python,Fundamentals of Core Python,Collection,Tuple,Tuple Indexing,
Python,Fundamentals of Core Python,Collection,Tuple,tuple slicing,
Python,Fundamentals of Core Python,Collection,Tuple,Built in functions of tuple,
Python,Fundamentals of Core Python,Collection,Tuple,Built in Methods,
Python,Fundamentals of Core Python,Collection,Set,,
Python,Fundamentals of Core Python,Collection,Set,Introduction to Set,
Python,Fundamentals of Core Python,Collection,Set,Built in functions of set,
Python,Fundamentals of Core Python,Collection,Set,Built in Methods,
Python,Fundamentals of Core Python,Collection,Dictionary,Introduction to Dictionary,
Python,Fundamentals of Core Python,Collection,Dictionary,Built -in functions of Dictionary,
Python,Fundamentals of Core Python,Collection,Dictionary,Built -in Methods of Dictionary,
Python,Fundamentals of Core Python,Collection,Dictionary,,
Python,Fundamentals of Core Python,Collection,String,Introduction to String,
Python,Fundamentals of Core Python,Collection,String,String Slicing,
Python,Fundamentals of Core Python,Collection,String,Built in functions of String,
Python,Fundamentals of Core Python,Collection,String,Built in methods of String,
Python,OOPS,Class and Object,Understanding class and object,Introduction to object,
Python,OOPS,Class and Object,Understanding class and object,Attributes of an Object,
Python,OOPS,Class and Object,Understanding class and object,Object and  it's behaviour,
Python,OOPS,Class and Object,Introduction to class,Introduction to class,
Python,OOPS,Class and Object,Static Attributes,Creating and storing static attributes,
Python,OOPS,Class and Object,Static Attributes,Printing static attributes,
Python,OOPS,Class and Object,Static Attributes,Adding Static attributes,
Python,OOPS,Class and Object,Static Attributes,Modifying static attributes,
Python,OOPS,Class and Object,Static Attributes,Deleting static attributes,
Python,OOPS,Class and Object,Non-static attributes,Creating and storing Non-static attributes,
Python,OOPS,Class and Object,Non-static attributes,Printing static Non-attributes,
Python,OOPS,Class and Object,Non-static attributes,Adding Static Non-attributes,
Python,OOPS,Class and Object,Non-static attributes,Modifying static Non-attributes,
Python,OOPS,Class and Object,Non-static attributes,Deleting static Non-attributes,
Python,OOPS,Class and Object,Methods,Instance method,
Python,OOPS,Class and Object,Methods,class method,
Python,OOPS,Class and Object,Methods,static method,
Python,OOPS,Class and Object,Methods,class and it's members,
Python,OOPS,Class and Object,constructor,Introduction to constructor,
Python,OOPS,Class and Object,constructor,types of constructor,
Python,OOPS,Class and Object,constructor,Parameterized constructor,
Python,OOPS,Class and Object,constructor,Non parameterized contructor,
Python,Advanced Python,Modules,Introduction to modules,Introduction to modules,
Python,Advanced Python,Modules,Importing modules using import,Importing modules using import,
Python,Advanced Python,Modules,Importing modules using from,Importing modules using from,
Python,Advanced Python,Packages,Introduction to Packages,Introduction to packages,
Python,Advanced Python,Packages,Importing modules from packages,Importing modules from packages,
Python,Advanced Python,Packages,Classification of modules,Inbuilt modules,Introduction to inbuilt modules
Python,Advanced Python,Packages,Classification of modules,Inbuilt modules,math module
Python,Advanced Python,Packages,Classification of modules,Inbuilt modules,os module
Python,Advanced Python,Packages,Classification of modules,Inbuilt modules,datetime module
Python,Advanced Python,Packages,Classification of modules,Inbuilt modules,time module
Python,Advanced Python,Packages,Classification of modules,Inbuilt modules,logging module
Python,Advanced Python,Packages,Classification of modules,Inbuilt modules,Regular expressions
Python,Advanced Python,Exception Handling,Introduction to Exception Handling,Introduction to Exception Handling,
Python,Advanced Python,Exception Handling,Types of Exception Handling,Types of Exception Handling,
Python,Advanced Python,Exception Handling,Else and finally blocks,Else and finally blocks,
Python,Advanced Python,Exception Handling,Exceptions Hierarchy,Exceptions Hierarchy,
Python,Advanced Python,Exception Handling,Raising an Exception,Raising an Exception,
Python,Advanced Python,Exception Handling,Module level Exception handling and error propagation,Module level Exception handling and error propagation,
Python,Advanced Python,Exception Handling,Custom Exceptions,Custom Exceptions,
Python,Advanced Python,File Handling,Introduction to File Handling,Introduction to File Handling,
Python,Advanced Python,File Handling,write operation,write operation,
Python,Advanced Python,File Handling,append operation,append operation,
Python,Advanced Python,File Handling,read operation,read operation,
Python,Advanced Python,File Handling,X mode,X mode,
Python,Advanced Python,File Handling,context manager,context manager,
Python,Advanced Python,File Handling,tell() method,tell() method,
Python,Advanced Python,File Handling,seek() method,seek() method,
Python,Advanced Python,File Handling,r+ mode,r+ mode,
Python,Advanced Python,File Handling,w+ mode,w+ mode,
Python,Advanced Python,File Handling,a+ mode,a+ mode,
Python,Advanced Python,File Handling,readable() and writable() methods,readable() and writable() methods,
Python,Advanced Python,File Handling,csv file handling  - writing into csv file,csv file handling  - writing into csv file,
Python,Advanced Python,File Handling,csv file handling  - reading from csv file,csv file handling  - reading from csv file,
Python,Advanced Python,File Handling,Json file handling,Json file handling,
Python,Advanced Python,File Handling,writing json data,writing json data,
Python,Advanced Python,File Handling,reading json data,reading json data,
Python,Advanced Python,File Handling,Json serialization and deserialization,Json serialization and deserialization,
Python,Advanced Python,File Handling,Pickle serialization and deserialization,Pickle serialization and deserialization,
Python,Advanced Python,Decorator,Introduction to Decorator,Introduction to Decorator,
Python,Advanced Python,Decorator,Decorator Execution,Decorator Execution,
Python,Advanced Python,Decorator,Decorator with arguments,Decorator with arguments,
Python,Advanced Python,Iterator,Introduction to Iterator,Introduction to Iterator,
Python,Advanced Python,Iterator,Iterator Execution,Iterator Execution,
Python,Advanced Python,Iterator,Handling StopIteration Exception,Handling StopIteration Exception,
Python,Advanced Python,Iterator,Iterable v/s Iterator,Iterable v/s Iterator,
Python,Advanced Python,Iterator,Creating custom Iterator,Creating custom Iterator,
Python,Advanced Python,Generators,Intoduction to Generators,Intoduction to Generators,
Python,Advanced Python,Generators,generator Execution,generator Execution,
Python,Advanced Python,Comprehensions,Introduction to Comprehensions,Introduction to Comprehensions,
